Match ID,Year,Home Goals,Away Goals,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,HomePlayer12,HomePlayer13,HomePlayer14,HomePlayer15,HomePlayer16,HomePlayer17,HomePlayer18,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,AwayPlayer12,AwayPlayer13,AwayPlayer14,AwayPlayer15,AwayPlayer16,AwayPlayer17,AwayPlayer18
2248,2017,1,0,2367,2378,3228,2347,2948,4466,1623,1976,5140,814,2590,3527,1606,3272,6278,1604,3349,6053,2696,2168,3906,1629,6194,2173,3612,4201,3666,3119,751,122,2664,1366,4824,524,4222,3148
2249,2017,2,0,4263,563,1168,4067,1687,2078,915,900,2784,4285,1899,2997,344,5943,5520,1574,1423,2150,5711,5424,5449,2505,3204,2167,1938,2940,33,2269,6203,4984,5134,5457,4033,444,6045,3006
2250,2017,0,4,6202,2921,3299,3436,2014,5968,5831,3515,6417,4935,2851,5732,6170,6701,709,1798,830,827,2125,5569,486,1783,107,1312,1339,4150,3363,1311,3750,4504,3230,1111,5423,2044,2502,4768
2251,2017,0,0,5033,1053,1297,2575,1210,1152,2387,2350,2092,6124,949,3664,5808,4362,854,5458,632,3366,2791,4185,6002,1897,5040,749,5738,5523,4304,597,4154,1264,3170,6209,3522,5020,2098,1605
2252,2017,4,0,1791,1921,5997,975,1903,2701,3147,886,492,1216,4130,2835,4146,1186,5929,4976,6712,1354,3577,4969,2583,2636,2757,3935,4374,4205,1703,767,4220,5881,728,1360,4202,5817,2697,1430
2253,2017,2,1,5705,4400,4841,2293,4525,2606,4748,4918,1994,2314,4567,1709,2288,6033,4865,1959,6017,3584,4963,2241,5421,1573,5591,4389,4909,5330,3114,6517,5218,505,6036,540,2577,3378,2878,3219
2254,2017,2,2,5711,5449,2940,2505,5424,4984,1938,5457,3204,2269,6045,33,1363,5134,4033,2167,6203,3006,2234,441,3434,3432,4076,3694,270,5636,4705,723,4685,1484,3192,585,307,6541,1515,6721
2255,2017,1,0,546,123,5865,5367,5853,6559,2978,4794,1812,6141,4923,3580,318,5852,5493,2419,1513,6530,498,6304,3983,6007,2445,401,5654,2101,4930,2396,6233,2381,4322,2455,6689,4836,3955,5890
2256,2017,0,1,754,566,1302,3210,2364,326,4842,3279,3211,6014,2228,5916,1310,3852,4338,2483,5450,6214,5684,820,4070,3965,5288,1640,2077,1547,2549,731,1728,823,2230,3034,2687,5008,4089,1860
2257,2017,2,0,4263,4067,5824,563,2784,1687,2078,915,4285,3555,1899,2997,344,900,5943,1574,1423,2150,2367,1503,3228,2347,2378,6278,814,1623,4466,5140,3349,4608,1606,2948,1976,611,5923,6053
2258,2017,0,1,5459,4458,4043,3304,1272,1602,1115,407,1906,4001,4908,2331,3262,2822,3887,1151,62,5107,5118,2945,6060,5269,6491,2882,3039,3429,6323,5961,747,534,4315,3329,935,2584,183,662
2259,2017,1,1,2696,3906,2664,6194,2168,3119,3612,4201,4824,3666,751,4581,122,524,2173,1366,4222,3148,4985,4213,79,1141,6284,627,2066,4880,3117,3954,4719,5794,2304,4819,282,6442,5789,6698
2260,2017,0,0,4985,6284,4213,79,1141,282,627,2066,5789,3117,4880,5794,4921,2304,4819,6442,3954,6698,1791,5997,4146,975,1903,1921,492,5929,1216,6712,4130,1654,2841,1186,886,4976,2701,1354
2261,2017,1,1,5118,6060,5269,2945,6491,3429,6323,2882,3039,747,5961,4315,5479,935,3329,183,2584,662,546,5853,123,5865,5367,4424,2978,4794,2419,4923,6141,5493,3580,2816,1812,6559,1513,6530
2262,2017,2,1,1430,2583,2636,4969,5448,3935,4374,1703,1360,767,4626,5881,5672,5418,4220,4205,1693,3287,754,4698,4842,1302,4338,3279,326,2364,6014,3852,5450,3210,5916,566,5541,3328,2483,6214
2263,2017,7,2,5684,3965,5288,820,4070,2077,1547,1640,731,1728,2549,2230,823,2687,5008,3034,2982,1860,5705,633,2293,4841,4525,2314,4748,4400,2606,3133,4567,5973,6033,4865,1959,6017,1994,3584
2264,2017,2,0,498,6304,3983,6007,2445,4836,2101,5654,4930,6233,3955,2381,4322,6286,235,2455,2433,5890,6202,6170,3436,2921,2014,4935,5968,3515,5831,709,2851,5732,3299,6701,4733,6417,830,3746
2265,2017,1,0,2125,1783,107,5569,486,1311,2044,1312,3750,4150,3363,6103,3230,4504,1111,5423,2502,4768,5033,1053,1297,3664,2092,2350,1210,2575,1152,6124,4362,2387,5808,3359,5458,949,632,3366
2266,2017,2,1,2234,3432,3434,1484,270,441,4705,4076,307,1515,3694,3192,355,6541,723,5636,4685,6721,4263,563,1168,2997,1687,2078,915,900,6447,4285,3555,5824,5520,344,3379,1574,1423,2150
